statnr,datum,RSX
12311,2015022313,0
12311,2015022314,0
12311,2015022315,0
12311,2015022316,0
12311,2015022317,0
12311,2015022318,0
12311,2015022319,0
12311,2015022320,0
12311,2015022321,0
12311,2015022322,0.4
12311,2015022323,0.4
12311,2015022324,0.1
12311,2015022401,0.2
12311,2015022402,0
12311,2015022403,0.5
12311,2015022404,0.7
12311,2015022405,0.9
12311,2015022406,1.5
12311,2015022407,0.7
12311,2015022408,0.7
12311,2015022409,0
12311,2015022410,0.3
12311,2015022411,0.3
12311,2015022412,0.6
12311,2015022413,0.2
12311,2015022414,0
12311,2015022415,0.2
12311,2015022416,0
12311,2015022417,0
12311,2015022418,0
12311,2015022419,0.1
12311,2015022420,0.4
12311,2015022421,0
12311,2015022422,0.2
12311,2015022423,0
12311,2015022424,0
12311,2015022501,0
12311,2015022502,0
12311,2015022503,0.1
12311,2015022504,0
12311,2015022505,0.1
12311,2015022506,0.1
12311,2015022507,0.1
12311,2015022508,0
12311,2015022509,0.1
12311,2015022510,0
12311,2015022511,0
12311,2015022512,0
12311,2015022513,0
12311,2015022514,0.1
12311,2015022515,0.2
12311,2015022516,0.6
12311,2015022517,0.2
12311,2015022518,0.7
12311,2015022519,0.4
12311,2015022520,0
12311,2015022521,0
12311,2015022522,0
12311,2015022523,0
12311,2015022524,0
12311,2015022601,0
12311,2015022602,0
12311,2015022603,0
12311,2015022604,0
12311,2015022605,0
12311,2015022606,0
12311,2015022607,0
12311,2015022608,0
12311,2015022609,0
12311,2015022610,0
12311,2015022611,0
12311,2015022612,0
12311,2015022613,0
12311,2015022614,0
12311,2015022615,0
12311,2015022616,0
12311,2015022617,0
12311,2015022618,0
12311,2015022619,0
12311,2015022620,0
12311,2015022621,0
12311,2015022622,0
12311,2015022623,0
12311,2015022624,0
12311,2015022701,0
12311,2015022702,0
12311,2015022703,0
12311,2015022704,0
12311,2015022705,0
12311,2015022706,0
12311,2015022707,0
12311,2015022708,0
12311,2015022709,0
12311,2015022710,0
12311,2015022711,0
12311,2015022712,0
12311,2015022713,0
12311,2015022714,0
12311,2015022715,0
12311,2015022716,0
12311,2015022717,0
12311,2015022718,0
12311,2015022719,0
12311,2015022720,0.4
12311,2015022721,0.4
12311,2015022722,0.4
12311,2015022723,0.1
12311,2015022724,0
12311,2015022801,0.1
12311,2015022802,0
12311,2015022803,0
12311,2015022804,0
12311,2015022805,0
12311,2015022806,0
12311,2015022807,0
12311,2015022808,0
12311,2015022809,0
12311,2015022810,0
12311,2015022811,0
12311,2015022812,0
12311,2015022813,0
12311,2015022814,0
12311,2015022815,0
12311,2015022816,0
12311,2015022817,0
12311,2015022818,0
12311,2015022819,0
12311,2015022820,0
12311,2015022821,0
12311,2015022822,0
12311,2015022823,0
12311,2015022824,0
12311,2015030101,0
12311,2015030102,0
12311,2015030103,0
12311,2015030104,0
12311,2015030105,0
